,Disease Name,Sentence,Spacy Tokens Target,BERT Tokens Target
2859,liver tumours,Modern therapeutic approaches for the treatment of malignant liver tumours,[0 0 0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 0 0 1 1 1 1]
2860,,Presynaptic regulation of astroglial excitatory neurotransmitter transporter GLT1,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2861,,EEG signal processing,[0 0 0],[0 0 0 0]
2862,gout,Incidence and risk factors for gout in white men,[0 0 0 0 0 1 0 0 0],[0 0 0 0 0 1 1 0 0 0]
2863,dermatitis herpetiformis,"Clinical, pathologic, and immunopathologic features of dermatitis herpetiformis: review of the Mayo Clinic experience*,†",[0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0]
2864,measles,Measles in developing countries Part I. Epidemiological parameters and patterns,[1 0 0 0 0 0 0 0 0 0],[1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
2865,labyrinthitis,Nystagmus in patients with unilateral acute otitis media complicated by serous labyrinthitis,[0 0 0 0 0 0 0 0 0 0 0 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1]
2866,hodgkin lymphoma,Diagnosis and treatment of childhood non-Hodgkin lymphoma,[0 0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 1 1 1 1 1 1 1 1]
2867,suicide suicide,"Suicide, and other causes of death, following attempted suicide",[1 0 0 0 0 0 0 0 0 0 1],[1 0 0 0 0 0 0 0 0 0 1]
2868,atopic eczema,Atopic eczema: its impact on the family and financial cost,[1 1 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 0 0 0 0 0 0 0 0 0]
2869,chronic obstructive pulmonary chronic obstructive pulmonary disease,Chronic obstructive pulmonary disease• 6: the aetiology of exacerbations of chronic obstructive pulmonary disease,[1 1 1 0 0 0 0 0 0 0 0 1 1 1 1],[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1]
2870,rare tumours,Rare tumours of the cerebellopontine angle,[1 1 0 0 0 0],[1 1 1 1 0 0 0 0 0 0 0 0 0]
2871,bacterial vaginosis,Bacterial vaginosis in pregnancy,[1 1 0 0],[1 1 1 1 0 0]
2872,bronchiectasis,Prevalence and incidence of noncystic fibrosis bronchiectasis among US adults in 2013,[0 0 0 0 0 0 1 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0]
2873,,Ethnicity and characteristics of Hodgkin lymphoma in children,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2874,hyperglycaemia,Genetic cause of hyperglycaemia and response to treatment in diabetes,[0 0 0 1 0 0 0 0 0 0],[0 0 0 1 1 1 1 0 0 0 0 0 0]
2875,oesophageal cancer cancer,Increased incidence and survival for oesophageal cancer but not for gastric cardia cancer in the Netherlands,[0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0],[0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0]
2876,,Pathogenetic mechanisms of diabetic nephropathy,[0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
2877,,Evinacumab for homozygous familial hypercholesterolemia,[0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2878,overactive thyroid,Illness due to work or to an overactive thyroid?,[0 0 0 0 0 0 0 1 1 0],[0 0 0 0 0 0 0 1 1 1 0]
2879,,Acute Cholecystitis: MR Findings and Differentiation from Chronic Cholecystitis1,[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2880,urinary incontinence,Functional imaging of stress urinary incontinence,[0 0 0 0 1 1],[0 0 0 0 1 1 1 1 1 1 1]
2881,dementia,Early and presenting symptoms of dementia with Lewy bodies,[0 0 0 0 0 1 0 0 0],[0 0 0 0 0 1 0 0 0 0]
2882,,Left anterior descending coronary artery grafting via left anterior small thoracotomy without cardiopulmonary bypass,[0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2883,nosebleed,Clinical practice guideline: nosebleed (epistaxis) executive summary,[0 0 0 0 1 0 0 0 0 0],[0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0]
2884,urinary incontinence,Urinary incontinence as a worldwide problem,[1 1 0 0 0 0],[1 1 1 1 1 1 1 0 0 0 0]
2885,,THE ETIOLOGY AND TREATMENT OF CHRONIC SUPPURATIVE CATARRH OF THE EAR.,[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2886,,A randomized comparison of coronary-stent placement and balloon angioplasty in the treatment of coronary artery disease,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2887,,Medicare and You 2008,[0 0 0 0],[0 0 0 0]
2888,bowel cancer,The epidemiology of large bowel cancer,[0 0 0 0 1 1],[0 0 0 0 0 0 0 1 1 1]
2889,,Physiological functions and potential clinical applications of motilin,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
2890,,Ingrown toe-nail: a clinical study,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
2891,,Myasthenia gravis: subgroup classification and therapeutic strategies,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
2892,,"Beta-blockers: focus on mechanism of action Which beta-blocker, when and why?",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2893,,Antiplatelet agents in the perioperative period,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
2894,tumours rare tumours,Pulmonary tumours in the Netherlands: focus on temporal trends in histology and stage and on rare tumours,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1],[0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1]
2895,,Achieving a timely diagnosis for teenagers and young adults with cancer: the ACE “too young to get cancer?” study,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2896,,A farewell to body-mass index?,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0]
2897,retinoblastoma retinoblastoma retinoblastoma,Trilateral retinoblastoma: a meta-analysis of hereditary retinoblastoma associated with primary ectopic intracranial retinoblastoma,[0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1],[0 0 1 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 1 1]
2898,,The ultrastructure of the cat myocardium: I. Ventricular papillary muscle,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2899,dysphagia,Oropharyngeal dysphagia in older persons–from pathophysiology to adequate intervention: a review and summary of an international expert meeting,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2900,,Gangrene of the perineum,[0 0 0 0],[0 0 0 0 0 0 0 0]
2901,,Development of a measure of negative attitudes toward masturbation.,[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0]
2902,,"Physiology, albumin",[0 0 0],[0 0 0 0]
2903,,The new definition and diagnostic criteria of Parkinson's disease,[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
2904,,Hair transplantation and follicular unit extraction,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
2905,,Osteosarcoma of the spine: experience of the Cooperative Osteosarcoma Study Group,[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2906,cervical cancer,Understanding cervical cancer in the context of developing countries.,[0 1 1 0 0 0 0 0 0 0],[0 1 1 0 0 0 0 0 0 0]
2907,,Problems with essential fatty acids: time for a new paradigm?,[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0]
2908,pain chronic pain,A pain neuromatrix approach to patients with chronic pain,[0 1 0 0 0 0 0 1 1],[0 1 0 0 0 0 0 0 0 0 1 1]
2909,gonorrhoea,"Analysis of the sociodemography of gonorrhoea in Leeds, 1989-93",[0 0 0 0 0 1 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0]
2910,angioedema angioedema,Replacement therapy in hereditary angioedema: successful treatment of acute episodes of angioedema with partly purified C1 inhibitor,[0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0],[0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0]
2911,,Hair transplantation and follicular unit extraction,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
2912,,Effects of varied durations of training on improvement in cardiorespiratory endurance,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2913,,"Scale, congestion and growth",[0 0 0 0 0],[0 0 0 0 0]
2914,measles,Measles vaccines and the potential for worldwide eradication of measles,[0 0 0 0 0 0 0 0 0 1],[0 0 0 0 0 0 0 0 0 0 0 0 1 1 1]
2915,,Hodgkin lymphoma in children and adolescents: improving the therapeutic index,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2916,,Infantile colic,[0 0],[0 0 0 0]
2917,,Reliability of the pressure algometer as a measure of myofascial trigger point sensitivity,[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2918,inherited heart conditions,"Secondary findings in inherited heart conditions: a genotype-first feasibility study to assess phenotype, behavioural and psychosocial outcomes",[0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2919,,Complement system part II: role in immunity,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0]
2920,syphilis,"Social capital, poverty, and income inequality as predictors of gonorrhoea, syphilis, chlamydia and AIDS case rates in the United States",[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
2921,,Keratoderma blennorrhagica,[0 0],[0 0 0 0 0 0 0 0 0 0]
2922,chronic lymphocytic leukaemia,Chronic lymphocytic leukaemia: a short overview,[1 1 1 0 0 0 0],[1 1 1 1 1 1 1 1 1 0 0 0 0]
2923,liver tumours,Changes in the management of benign liver tumours: an analysis of 285 patients,[0 0 0 0 0 0 1 1 0 0 0 0 0 0],[0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0]
2924,personality disorder,"Classification, assessment, prevalence, and effect of personality disorder",[0 0 0 0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 0 0 1 1]
2925,earache,Clinical evaluation of unani ear drops herbotic for earache.,[0 0 0 0 0 0 0 0 1 0],[0 0 0 0 0 0 0 0 0 0 1 1 0]
2926,,Abdominal pain is a frequent symptom of gastroparesis,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
2927,diabetes,Bone disease in diabetes: another manifestation of microvascular disease?,[0 0 0 1 0 0 0 0 0 0 0],[0 0 0 1 0 0 0 0 0 0 0 0 0]
2928,,Keyhole approach for posterior cervical discectomy: experience on 84 patients,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2929,,Patient evaluations of low back pain care from family physicians and chiropractors.,[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2930,,Study on distribution of endemic arsenism in China,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
2931,,"Polyp guideline: diagnosis, treatment, and surveillance for patients with colorectal polyps",[0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2932,,The prevalence of middle ear pathogens in the outer ear canal and the nasopharyngeal cavity of healthy young adults,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2933,,Advances and prospects for subunit vaccines against protozoa of veterinary importance,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
2934,liver disease,Global epidemiology of non‐alcoholic fatty liver disease/non‐alcoholic steatohepatitis: What we need in the future,[0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2935,anal cancer,"Sexual practices, sexually transmitted diseases, and the incidence of anal cancer",[0 0 0 0 0 0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 0 0 0 0 1 1]
2936,lymphoedema,Health‐related quality of life with lymphoedema: a review of the literature,[0 0 0 0 0 1 0 0 0 0 0 0],[0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0]
2937,,CT of coronary artery disease,[0 0 0 0 0],[0 0 0 0 0 0]
2938,,"Disability, debility, and caring queerly",[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
2939,,What do we know about diverticular disease?: A brief overview,[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
2940,,Comparison of arterial and capillary blood gas values in poisoning department assessment,[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2941,genital symptoms,Psychological factors predicting the distress to female persistent genital arousal symptoms,[0 0 0 0 0 0 0 0 1 0 1],[0 0 0 0 0 0 0 0 1 1 0 1]
2942,,Complications of screening flexible sigmoidoscopy,[0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
2943,panic disorder,Standardized assessment for panic disorder research: a conference report,[0 0 0 1 1 0 0 0 0 0],[0 0 0 1 1 0 0 0 0 0]
2944,,Cancer in adolescence,[0 0 0],[0 0 0]
2945,vertigo,Pharmacological treatment of vertigo,[0 0 0 1],[0 0 0 0 0 0 1]
2946,cough,Recommendations for the assessment and management of cough in children,[0 0 0 0 0 0 0 1 0 0],[0 0 0 0 0 0 0 1 0 0]
2947,lupus,Systemic lupus erythematosus (SLE) therapy: the old and the new,[0 1 0 0 0 0 0 0 0 0 0 0 0],[0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2948,,White matter changes with normal aging,[0 0 0 0 0 0],[0 0 0 0 0 0]
2949,,Aspiration: cause and implications,[0 0 0 0 0],[0 0 0 0 0 0]
2950,,Association of health-related quality of life and benign prostatic enlargement,[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2951,chest pain,The evaluation of chest pain in women,[0 0 0 1 1 0 0],[0 0 0 1 1 0 0]
2952,,Tumor-infiltrating lymphocytes for the treatment of metastatic cancer,[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2953,,Bone resorption by osteoclasts,[0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
2954,bacterial vaginosis,Prevalence of bacterial vaginosis: 2001–2004 national health and nutrition examination survey data,[0 0 1 1 0 0 0 0 0 0 0 0 0],[0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0]
2955,rare tumours,Burden and centralised treatment in Europe of rare tumours: results of RARECAREnet—a population-based study,[0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0]
2956,,"The Glasgow Coma Scale–a brief review Past, present, future",[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
2957,arthritis,Reactive arthritis: clinical aspects and medical management,[0 1 0 0 0 0 0 0],[0 1 0 0 0 0 0 0]
2958,myasthenia gravis,"Pathogenesis of myasthenia gravis: update on disease types, models, and mechanisms",[0 0 1 1 0 0 0 0 0 0 0 0 0 0],[0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0]
2959,cold sore,Treatment of cold sore: Practice pointers from mystery shopping,[0 0 1 1 0 0 0 0 0 0],[0 0 1 1 0 0 0 0 0 0 0]
2960,coronavirus,Neuropathogenesis and neurologic manifestations of the coronaviruses in the age of coronavirus disease 2019: a review,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0]
2961,fibroid,Recent advances in uterine fibroid etiology,[0 0 0 0 1 0],[0 0 0 0 0 1 1 1 0 0]
2962,,"Gonorrhoea in women: diagnostic, clinical, and laboratory aspects",[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2963,,Bunionette,[0],[0 0 0]
2964,,The Role of Physiatrist in the Field of Community Based Rehabilitation,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2965,,Implantable collamer posterior chamber intraocular lenses: a review of potential complications,[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2966,,Models and mechanisms of hyperalgesia and allodynia,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
2967,,"A randomized, controlled trial of Ebola virus disease therapeutics",[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
2968,acne,A global perspective on the epidemiology of acne,[0 0 0 0 0 0 0 1],[0 0 0 0 0 0 0 0 0 0 1 1]
2969,diabetes,Global prevalence of diabetes: estimates for the year 2000 and projections for 2030,[0 0 0 1 0 0 0 0 0 0 0 0 0 0],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
2970,deep vein thrombosis,Pulmonary embolism and deep vein thrombosis,[0 0 0 1 1 1],[0 0 0 0 0 1 1 1 1 1 1]
2971,cellulitis,Staphylococcus aureus is the most common identified cause of cellulitis: a systematic review,[0 0 0 0 0 0 0 0 0 1 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0]
2972,,Prostaglandins and cancer,[0 0 0],[0 0 0 0 0 0 0]
2973,brain stem death,New insights on brain stem death: from bedside to bench,[0 0 0 1 1 1 0 0 0 0 0],[0 0 0 1 1 1 0 0 0 0 0]
2974,,Distribution of cerebral blood flow in the circle of Willis,[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
2975,pain chronic pain,Comparison of percutaneous electrical nerve stimulation with transcutaneous electrical nerve stimulation for long-term pain relief in patients with chronic low back pain,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1]
2976,anxiety,The development of anxiety: The role of control in the early environment,[0 0 0 1 0 0 0 0 0 0 0 0 0],[0 0 0 1 0 0 0 0 0 0 0 0 0]
2977,,Are we misunderstanding beta-blockers,[0 0 0 0 0 0],[0 0 0 0 0 0 0]
2978,bronchiectasis,"Trends in bronchiectasis among medicare beneficiaries in the United States, 2000 to 2007",[0 0 1 0 0 0 0 0 0 0 0 0 0 0],[0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2979,,A genetic study of febrile convulsions,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
2980,scarlet fever,"Resurgence of scarlet fever in England, 2014–16: a population-based surveillance study",[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0],[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
2981,,Acute flaccid myelitis in COVID-19,[0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
2982,,Italian addison network study: update of diagnostic criteria for the etiological classification of primary adrenal insufficiency,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2983,,Review of ventricular rupture: key concepts and diagnostic tools for success,[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2984,,Genetic vulnerability and susceptibility to substance dependence,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
2985,mouth ulcer,Treatment of mouth ulcer by curcumin loaded thermoreversible mucoadhesive gel: a technical note,[0 0 1 1 0 0 0 0 0 0 0 0 0 0],[0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2986,liver liver tumours,The emergent role of focal liver ablation techniques in the treatment of primary and secondary liver tumours,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1],[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1]
2987,,Histamine and histamine intolerance,[0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
2988,,Renal artery stenosis: when to revascularize in 2017,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
2989,chest pain,A national study of the prevalence of life-threatening diagnoses in patients with chest pain,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1]
2990,hodgkin lymphoma,"Hodgkin and non-Hodgkin lymphoma of the head and neck: clinical, pathologic, and imaging evaluation",[0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2991,,Baby on board: what you need to know about pregnancy in the hemoglobinopathies,[0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2992,fibromyalgia,Thalamic mechanisms underlying alpha-delta sleep with implications for fibromyalgia,[0 0 0 0 0 0 0 0 0 0 1],[0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1]
2993,,T lymphocyte–endothelial cell interactions,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0]
2994,myasthenia gravis,The incidence of myasthenia gravis: a systematic literature review,[0 0 0 1 1 0 0 0 0 0],[0 0 0 1 1 1 1 1 1 1 0 0 0 0 0]
2995,chronic pain chronic pain,Chronic pain-associated depression: antecedent or consequence of chronic pain? A review,[1 1 0 0 0 0 0 0 0 0 1 1 0 0 0],[1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0]
2996,,How safe is the use of thiazolidinediones in clinical practice?,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2997,,Benign prostatic hyperplasia: clinical overview and value of diagnostic imaging,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2998,,Cardiac myofilaments: mechanics and regulation,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
2999,,Clinical assessment of urethral sphincter function,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
3000,head and neck cancer,Quality of life research in head and neck cancer: a review of the current state of the science,[0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0]
3001,brain tumours brain tumour,The diagnosis of brain tumours in children: a guideline to assist healthcare professionals in the assessment of children who may have a brain tumour,[0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1],[0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1]
3002,,The discovery and development of selective estrogen receptor modulators (SERMs) for clinical practice,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
3003,,Clinical and immunological characteristics of autoimmune Addison disease: a nationwide Swedish multicenter study,[0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
3004,,The metallobiology of Alzheimer's disease,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
3005,pelvic inflammatory disease,"Incidence, prevalence, and trends of acute pelvic inflammatory disease and its consequences in industrialized countries",[0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0]
3006,,Risk factors for carpal tunnel syndrome,[0 0 0 0 0 0],[0 0 0 0 0 0 0]
3007,acute pancreatitis,The role of cytokines in the pathogenesis of acute pancreatitis,[0 0 0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1]
3008,,Surgical versus non-surgical treatment of fractures of the articular process of the mandible,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
3009,polymyalgia rheumatica,"Epidemiology of polymyalgia rheumatica in Olmsted County, Minnesota, 1970–1991",[0 0 1 1 0 0 0 0 0 0 0],[0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0]
3010,,Two stressors are far deadlier than one,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
3011,pelvic inflammatory disease,A practical approach to the diagnosis of pelvic inflammatory disease,[0 0 0 0 0 0 0 1 1 1],[0 0 0 0 0 0 0 1 1 1 1 1]
3012,suicide suicide,Suicide and suicide risk,[1 0 1 0],[1 0 1 0]
3013,neuroblastoma,Update on neuroblastoma,[0 0 1],[0 0 1 1 1 1 1]
3014,malaria,A review of practical techniques for the diagnosis of malaria,[0 0 0 0 0 0 0 0 0 1],[0 0 0 0 0 0 0 0 0 1]
3015,,Du bruit à la parole,[0 0 0 0 0],[0 0 0 0 0 0]
3016,pregnancy and baby,"Risks associated with obesity in pregnancy, for the mother and baby: a systematic review of reviews",[0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0],[0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0]
3017,abdominal aortic aneurysm,Abdominal aortic aneurysm: A comprehensive review,[1 1 1 0 0 0 0],[1 1 1 1 1 1 1 1 0 0 0 0]
3018,asthma,Bronchodilator treatment and deaths from asthma: case-control study,[0 0 0 0 0 1 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
3019,,Visual acuity,[0 0],[0 0 0]
